image_index,caption
1263,"a single circle, centred"
1264,"a single star, centred"
1265,one square shape
1266,picture of a square
1267,a small triangle on a pale background
1268,picture of a square
1269,picture of a triangle
1270,one square shape
1271,a triangle in the middle of the frame
1272,a small circle on a pale background
1273,picture of a square
1274,"a single square, centred"
1275,a circle in the middle of the frame
1276,one triangle shape
1277,picture of a circle
1278,a star in the middle of the frame
1279,"a single triangle, centred"
1280,picture of a star
1281,a small circle on a pale background
1282,one star shape
1283,a star in the middle of the frame
1284,"a single square, centred"
1285,one star shape
1286,"a single square, centred"
1287,a circle in the middle of the frame
1288,one circle shape
1289,picture of a triangle
1290,picture of a triangle
1291,picture of a star
1292,"a single circle, centred"
1293,"a single square, centred"
1294,one circle shape
1295,a small square on a pale background
1296,"a single circle, centred"
1297,picture of a triangle
1298,a square in the middle of the frame
1299,picture of a star
1300,one triangle shape
1301,one square shape
1302,one triangle shape
1303,picture of a triangle
1304,"a single star, centred"
1305,a small star on a pale background
1306,"a single square, centred"
1307,a small square on a pale background
1308,a small star on a pale background
1309,one triangle shape
1310,one square shape
1311,a small triangle on a pale background
1312,one circle shape
1313,picture of a square
1314,a circle in the middle of the frame
1315,a small circle on a pale background
1316,picture of a star
1317,picture of a square
1318,picture of a star
1319,a square in the middle of the frame
1320,a small star on a pale background
1321,a small square on a pale background
1322,one star shape
1323,one star shape
1324,"a single square, centred"
1325,a star in the middle of the frame
1326,one triangle shape
1327,a small circle on a pale background
1328,one triangle shape
1329,a star in the middle of the frame
1330,one circle shape
1331,a star in the middle of the frame
1332,a star in the middle of the frame
1333,a circle in the middle of the frame
1334,picture of a square
1335,"a single square, centred"
1336,"a single circle, centred"
1337,a star in the middle of the frame
1338,a triangle in the middle of the frame
1339,"a single triangle, centred"
1340,"a single star, centred"
1341,a small triangle on a pale background
1342,one star shape
1343,picture of a circle
1344,one square shape
1345,a circle in the middle of the frame
1346,a circle in the middle of the frame
1347,one square shape
1348,a star in the middle of the frame
1349,a small circle on a pale background
1350,a star in the middle of the frame
1351,a triangle in the middle of the frame
1352,"a single square, centred"
1353,one triangle shape
1354,"a single circle, centred"
1355,"a single triangle, centred"
1356,a small square on a pale background
1357,"a single star, centred"
1358,a small square on a pale background
1359,picture of a star
1360,one triangle shape
1361,a star in the middle of the frame
1362,"a single triangle, centred"
1363,a square in the middle of the frame
1364,a small star on a pale background
1365,picture of a square
1366,"a single square, centred"
1367,picture of a triangle
1368,one triangle shape
1369,a small square on a pale background
1370,"a single square, centred"
1371,a small triangle on a pale background
1372,one star shape
1373,picture of a square
1374,a square in the middle of the frame
1375,picture of a star
1376,picture of a square
1377,one star shape
1378,a triangle in the middle of the frame
1379,one triangle shape
1380,a small circle on a pale background
1381,picture of a triangle
1382,a circle in the middle of the frame
1383,"a single star, centred"
1384,picture of a square
1385,a small square on a pale background
1386,one triangle shape
1387,a small triangle on a pale background
1388,a small triangle on a pale background
1389,one triangle shape
1390,"a single triangle, centred"
1391,picture of a square
1392,"a single triangle, centred"
1393,a circle in the middle of the frame
1394,a triangle in the middle of the frame
1395,"a single star, centred"
1396,picture of a star
1397,"a single square, centred"
1398,"a single triangle, centred"
1399,"a single square, centred"
1400,picture of a circle
1401,one triangle shape
1402,"a single triangle, centred"
1403,"a single star, centred"
1404,a small star on a pale background
1405,a circle in the middle of the frame
1406,picture of a circle
1407,picture of a circle
1408,"a single star, centred"
1409,picture of a star
1410,a small circle on a pale background
1411,one square shape
1412,a square in the middle of the frame
1413,one star shape
1414,a small square on a pale background
1415,a star in the middle of the frame
1416,a triangle in the middle of the frame
1417,a triangle in the middle of the frame
1418,one square shape
1419,picture of a square
1420,"a single square, centred"
1421,a small square on a pale background
1422,a triangle in the middle of the frame
1423,"a single square, centred"
1424,a small triangle on a pale background
1425,a small star on a pale background
1426,one square shape
1427,picture of a square
1428,a small circle on a pale background
1429,a square in the middle of the frame
1430,a triangle in the middle of the frame
1431,a small star on a pale background
1432,picture of a triangle
1433,a small triangle on a pale background
1434,a small triangle on a pale background
1435,"a single circle, centred"
1436,a star in the middle of the frame
1437,one square shape
1438,"a single triangle, centred"
1439,a circle in the middle of the frame
1440,a star in the middle of the frame
1441,a star in the middle of the frame
1442,one square shape
1443,a square in the middle of the frame
1444,a small triangle on a pale background
1445,one square shape
1446,picture of a triangle
1447,picture of a square
1448,one triangle shape
1449,one triangle shape
1450,picture of a circle
1451,picture of a triangle
1452,picture of a star
1453,a triangle in the middle of the frame
1454,a star in the middle of the frame
1455,"a single circle, centred"
1456,"a single square, centred"
1457,picture of a triangle
1458,a square in the middle of the frame
1459,a small star on a pale background
1460,a star in the middle of the frame
1461,a small triangle on a pale background
1462,picture of a circle
1463,a small square on a pale background
1464,a small circle on a pale background
1465,a small triangle on a pale background
1466,a circle in the middle of the frame
1467,a circle in the middle of the frame
1468,a small triangle on a pale background
1469,a triangle in the middle of the frame
1470,a small square on a pale background
1471,a triangle in the middle of the frame
1472,"a single circle, centred"
1473,"a single triangle, centred"
1474,"a single circle, centred"
1475,picture of a star
1476,"a single triangle, centred"
1477,a small star on a pale background
1478,"a single square, centred"
1479,picture of a star
1480,picture of a triangle
1481,picture of a star
1482,a small circle on a pale background
1483,picture of a square
1484,picture of a star
1485,a small triangle on a pale background
1486,picture of a circle
1487,a triangle in the middle of the frame
1488,a triangle in the middle of the frame
1489,picture of a star
1490,"a single star, centred"
1491,a small square on a pale background
1492,picture of a triangle
1493,a star in the middle of the frame
1494,one triangle shape
1495,picture of a square
1496,one star shape
1497,one circle shape
1498,"a single square, centred"
1499,"a single circle, centred"
1500,"a single triangle, centred"
1501,"a single star, centred"
1502,a circle in the middle of the frame
1503,one triangle shape
1504,a small star on a pale background
1505,a triangle in the middle of the frame
1506,one circle shape
1507,a star in the middle of the frame
1508,"a single triangle, centred"
1509,picture of a star
1510,a star in the middle of the frame
1511,a circle in the middle of the frame
1512,one triangle shape
1513,picture of a triangle
1514,picture of a triangle
1515,a star in the middle of the frame
1516,picture of a triangle
1517,a small square on a pale background
1518,one star shape
1519,a small triangle on a pale background
1520,a square in the middle of the frame
1521,"a single star, centred"
1522,a triangle in the middle of the frame
1523,picture of a circle
1524,a small square on a pale background
1525,a small square on a pale background
1526,a small circle on a pale background
1527,picture of a star
1528,a square in the middle of the frame
1529,picture of a triangle
1530,"a single square, centred"
1531,"a single star, centred"
1532,picture of a triangle
1533,a circle in the middle of the frame
1534,picture of a square
1535,a small triangle on a pale background
1536,a star in the middle of the frame
1537,a small star on a pale background
1538,one circle shape
1539,"a single triangle, centred"
1540,picture of a triangle
1541,picture of a triangle
1542,a star in the middle of the frame
1543,"a single triangle, centred"
1544,one triangle shape
1545,one star shape
1546,a square in the middle of the frame
1547,a triangle in the middle of the frame
1548,"a single star, centred"
1549,a square in the middle of the frame
1550,picture of a circle
1551,one circle shape
1552,a small square on a pale background
1553,one circle shape
1554,a small square on a pale background
1555,a star in the middle of the frame
1556,picture of a triangle
1557,one square shape
1558,"a single circle, centred"
1559,a small square on a pale background
1560,"a single square, centred"
1561,picture of a triangle
1562,a small circle on a pale background
1563,a small square on a pale background
1564,"a single square, centred"
1565,a star in the middle of the frame
1566,one star shape
1567,picture of a triangle
1568,"a single square, centred"
1569,"a single triangle, centred"
1570,a small circle on a pale background
1571,"a single star, centred"
1572,a small triangle on a pale background
1573,picture of a triangle
1574,a circle in the middle of the frame
1575,one circle shape
1576,"a single circle, centred"
1577,a small triangle on a pale background
1578,one circle shape
1579,a small square on a pale background
1580,"a single star, centred"
1581,picture of a triangle
1582,a star in the middle of the frame
1583,picture of a circle
1584,one star shape
1585,one square shape
1586,a square in the middle of the frame
1587,a triangle in the middle of the frame
1588,"a single star, centred"
1589,a star in the middle of the frame
1590,a small star on a pale background
1591,"a single square, centred"
1592,one circle shape
1593,one triangle shape
1594,a small circle on a pale background
1595,one square shape
1596,"a single square, centred"
1597,one triangle shape
1598,a small square on a pale background
1599,a star in the middle of the frame
1600,one square shape
1601,"a single circle, centred"
1602,a triangle in the middle of the frame
1603,"a single square, centred"
1604,a small triangle on a pale background
1605,one circle shape
1606,a small circle on a pale background
1607,picture of a triangle
1608,"a single triangle, centred"
1609,a circle in the middle of the frame
1610,"a single triangle, centred"
1611,one triangle shape
1612,"a single triangle, centred"
1613,"a single circle, centred"
1614,one star shape
1615,picture of a circle
1616,one square shape
1617,picture of a triangle
1618,a small triangle on a pale background
1619,one circle shape
1620,picture of a star
1621,"a single square, centred"
1622,a small circle on a pale background
1623,a triangle in the middle of the frame
1624,a small star on a pale background
1625,picture of a triangle
1626,picture of a triangle
1627,"a single square, centred"
1628,picture of a circle
1629,picture of a triangle
1630,"a single square, centred"
1631,picture of a square
1632,"a single circle, centred"
1633,a small triangle on a pale background
1634,one triangle shape
1635,a small square on a pale background
1636,one triangle shape
1637,picture of a triangle
1638,a circle in the middle of the frame
1639,one circle shape
1640,a small square on a pale background
1641,a star in the middle of the frame
1642,"a single circle, centred"
1643,"a single star, centred"
1644,one square shape
1645,a small circle on a pale background
1646,a small square on a pale background
1647,a small triangle on a pale background
1648,picture of a circle
1649,"a single circle, centred"
1650,"a single square, centred"
1651,picture of a square
1652,"a single circle, centred"
1653,"a single square, centred"
1654,one star shape
1655,"a single circle, centred"
1656,a star in the middle of the frame
1657,"a single circle, centred"
1658,picture of a circle
1659,one star shape
1660,picture of a square
1661,a small triangle on a pale background
1662,picture of a star
1663,picture of a star
1664,"a single circle, centred"
1665,one circle shape
1666,a circle in the middle of the frame
1667,a circle in the middle of the frame
1668,"a single square, centred"
1669,a small circle on a pale background
1670,"a single triangle, centred"
1671,one triangle shape
1672,one triangle shape
1673,picture of a triangle
1674,picture of a star
1675,a square in the middle of the frame
1676,a star in the middle of the frame
1677,"a single square, centred"
1678,"a single triangle, centred"
1679,one square shape
1680,a star in the middle of the frame
1681,"a single triangle, centred"
1682,a small square on a pale background
1683,a star in the middle of the frame
1684,picture of a circle
1685,a circle in the middle of the frame
1686,a small square on a pale background
1687,picture of a circle
1688,"a single star, centred"
1689,one square shape
1690,picture of a circle
1691,a small triangle on a pale background
1692,"a single square, centred"
1693,picture of a circle
1694,one triangle shape
1695,"a single square, centred"
1696,a small star on a pale background
1697,picture of a circle
1698,picture of a circle
1699,"a single circle, centred"
1700,a small circle on a pale background
1701,a small circle on a pale background
1702,"a single star, centred"
1703,"a single square, centred"
1704,"a single triangle, centred"
1705,a small star on a pale background
1706,one triangle shape
1707,a triangle in the middle of the frame
1708,one square shape
1709,a star in the middle of the frame
1710,one triangle shape
1711,a triangle in the middle of the frame
1712,picture of a circle
1713,"a single square, centred"
1714,picture of a square
1715,picture of a square
1716,"a single circle, centred"
1717,picture of a star
1718,"a single square, centred"
1719,a small triangle on a pale background
1720,picture of a triangle
1721,a small square on a pale background
1722,"a single triangle, centred"
1723,a small triangle on a pale background
1724,a star in the middle of the frame
1725,"a single square, centred"
1726,"a single circle, centred"
1727,a circle in the middle of the frame
1728,a circle in the middle of the frame
1729,a square in the middle of the frame
1730,one square shape
1731,one circle shape
1732,a star in the middle of the frame
1733,"a single square, centred"
1734,picture of a circle
1735,"a single triangle, centred"
1736,a small square on a pale background
1737,a small star on a pale background
1738,a small star on a pale background
1739,"a single star, centred"
1740,picture of a square
1741,"a single circle, centred"
1742,a square in the middle of the frame
1743,"a single square, centred"
1744,one triangle shape
1745,picture of a circle
1746,picture of a triangle
1747,picture of a star
1748,a star in the middle of the frame
1749,"a single star, centred"
1750,one square shape
1751,"a single circle, centred"
1752,a square in the middle of the frame
1753,"a single star, centred"
1754,one circle shape
1755,a circle in the middle of the frame
1756,picture of a circle
1757,picture of a square
1758,one star shape
1759,picture of a circle
1760,a star in the middle of the frame
1761,one square shape
1762,a square in the middle of the frame
1763,picture of a square
1764,a star in the middle of the frame
1765,"a single star, centred"
1766,one triangle shape
1767,"a single square, centred"
1768,one circle shape
1769,one triangle shape
1770,one star shape
1771,"a single circle, centred"
1772,"a single star, centred"
1773,"a single circle, centred"
1774,"a single square, centred"
1775,"a single triangle, centred"
1776,"a single square, centred"
1777,one triangle shape
1778,a small circle on a pale background
1779,a circle in the middle of the frame
1780,picture of a triangle
1781,picture of a square
1782,one circle shape
1783,"a single star, centred"
1784,a triangle in the middle of the frame
1785,a small square on a pale background
1786,one star shape
1787,"a single star, centred"
1788,a small triangle on a pale background
1789,"a single star, centred"
1790,"a single square, centred"
1791,picture of a square
1792,picture of a circle
1793,a small square on a pale background
1794,a triangle in the middle of the frame
1795,a star in the middle of the frame
1796,picture of a circle
1797,one star shape
1798,one circle shape
1799,one star shape
1800,a small star on a pale background
1801,one triangle shape
1802,picture of a star
1803,one circle shape
1804,"a single circle, centred"
1805,a small circle on a pale background
1806,a small circle on a pale background
1807,a star in the middle of the frame
1808,picture of a circle
1809,a small square on a pale background
1810,one square shape
1811,a star in the middle of the frame
1812,picture of a triangle
1813,a triangle in the middle of the frame
1814,picture of a square
1815,one square shape
1816,"a single star, centred"
1817,"a single triangle, centred"
1818,"a single circle, centred"
1819,one square shape
1820,a circle in the middle of the frame
1821,a small square on a pale background
1822,one star shape
1823,one square shape
1824,a small circle on a pale background
1825,one triangle shape
1826,one circle shape
1827,picture of a square
1828,a square in the middle of the frame
1829,picture of a circle
1830,one square shape
1831,one triangle shape
1832,"a single circle, centred"
1833,"a single triangle, centred"
1834,a small circle on a pale background
1835,a small square on a pale background
1836,a circle in the middle of the frame
1837,a triangle in the middle of the frame
1838,"a single star, centred"
1839,a circle in the middle of the frame
1840,"a single triangle, centred"
1841,a small square on a pale background
1842,a small star on a pale background
1843,"a single circle, centred"
1844,picture of a square
1845,picture of a star
1846,"a single circle, centred"
1847,picture of a star
1848,one circle shape
1849,a square in the middle of the frame
1850,a small triangle on a pale background
1851,one circle shape
1852,picture of a triangle
1853,one circle shape
1854,one circle shape
1855,a small triangle on a pale background
1856,"a single circle, centred"
1857,"a single circle, centred"
1858,"a single square, centred"
1859,one circle shape
1860,picture of a square
1861,"a single star, centred"
1862,one circle shape
1863,a small star on a pale background
1864,"a single circle, centred"
1865,a square in the middle of the frame
1866,"a single circle, centred"
1867,picture of a circle
1868,a small square on a pale background
1869,one square shape
1870,"a single star, centred"
1871,a star in the middle of the frame
1872,one star shape
1873,"a single triangle, centred"
1874,a small triangle on a pale background
1875,a circle in the middle of the frame
1876,one circle shape
1877,one square shape
1878,a triangle in the middle of the frame
1879,one star shape
1880,"a single triangle, centred"
1881,picture of a circle
1882,one circle shape
1883,a small square on a pale background
1884,"a single star, centred"
1885,a star in the middle of the frame
1886,picture of a circle
1887,picture of a triangle
1888,one square shape
1889,picture of a circle
1890,"a single circle, centred"
1891,one square shape
1892,one triangle shape
1893,one circle shape
1894,"a single triangle, centred"
1895,one triangle shape
1896,picture of a star
1897,a small square on a pale background
1898,"a single triangle, centred"
1899,picture of a square
1900,"a single square, centred"
1901,a triangle in the middle of the frame
1902,picture of a triangle
1903,one triangle shape
1904,one star shape
1905,"a single square, centred"
1906,picture of a square
1907,"a single square, centred"
1908,a circle in the middle of the frame
1909,picture of a square
1910,a small triangle on a pale background
1911,one star shape
1912,picture of a square
1913,a star in the middle of the frame
1914,a small square on a pale background
1915,a small triangle on a pale background
1916,"a single square, centred"
1917,a circle in the middle of the frame
1918,a square in the middle of the frame
1919,picture of a circle
1920,a small circle on a pale background
1921,"a single circle, centred"
1922,one square shape
1923,a square in the middle of the frame
1924,a small circle on a pale background
1925,a small square on a pale background
1926,a triangle in the middle of the frame
1927,picture of a triangle
1928,a small star on a pale background
1929,one circle shape
1930,"a single star, centred"
1931,picture of a circle
1932,one star shape
1933,a star in the middle of the frame
1934,one square shape
1935,picture of a star
1936,"a single star, centred"
1937,picture of a square
1938,a square in the middle of the frame
1939,one star shape
1940,a star in the middle of the frame
1941,a small triangle on a pale background
1942,picture of a triangle
1943,one circle shape
1944,"a single square, centred"
1945,a square in the middle of the frame
1946,a star in the middle of the frame
1947,one circle shape
1948,a triangle in the middle of the frame
1949,a square in the middle of the frame
1950,a square in the middle of the frame
1951,"a single square, centred"
1952,a small star on a pale background
1953,a square in the middle of the frame
1954,"a single circle, centred"
1955,a small circle on a pale background
1956,a circle in the middle of the frame
1957,one star shape
1958,a star in the middle of the frame
1959,picture of a triangle
1960,"a single triangle, centred"
1961,one square shape
1962,picture of a square
1963,"a single triangle, centred"
1964,a square in the middle of the frame
1965,"a single square, centred"
1966,a star in the middle of the frame
1967,"a single circle, centred"
1968,a circle in the middle of the frame
1969,a square in the middle of the frame
1970,picture of a square
1971,picture of a square
1972,a small triangle on a pale background
1973,picture of a square
1974,a small star on a pale background
1975,"a single square, centred"
1976,a small square on a pale background
1977,one triangle shape
1978,one circle shape
1979,a circle in the middle of the frame
1980,a star in the middle of the frame
1981,"a single circle, centred"
1982,picture of a star
1983,picture of a star
1984,a small star on a pale background
1985,picture of a triangle
1986,one triangle shape
1987,a small star on a pale background
1988,"a single square, centred"
1989,picture of a star
1990,"a single triangle, centred"
1991,a triangle in the middle of the frame
1992,a triangle in the middle of the frame
1993,one star shape
1994,picture of a star
1995,one square shape
1996,one triangle shape
1997,"a single star, centred"
1998,"a single triangle, centred"
1999,picture of a triangle
